text,label
"This movie was fantastic, I really enjoyed it.",1
Excellent performances by the entire cast.,1
A wonderful experience from start to finish!,1
An amazing journey into a magical world.,1
I loved the cinematography and direction.,1
A heartwarming tale that touched my soul.,1
This was one of the worst movies I've seen.,0
The soundtrack was beautiful and fit the scenes perfectly.,1
A masterpiece that will be remembered for years.,1
This movie was a waste of time.,0
The visuals were stunning and captivating.,1
The pacing was slow and dragged on too long.,0
A truly remarkable film that exceeded my expectations.,1
I didn't care for any of the characters.,0
"The direction was top-notch, a must-watch!",1
A perfect blend of action and drama.,1
An unforgettable experience that I would recommend to everyone.,1
The acting was brilliant and the story was engaging.,1
A cinematic triumph with a powerful message.,1
A deeply moving and emotional film.,1
I was on the edge of my seat the entire time.,1
A visually spectacular and thought-provoking movie.,1
I couldn't take my eyes off the screen.,1
A groundbreaking film that redefines the genre.,1
A thrilling ride from start to finish.,1
"A beautiful story with rich, complex characters.",1
The dialogue was sharp and witty.,1
A stellar cast and an unforgettable storyline.,1
A stellar cast and a nice storyline.,1
"['This motion picture show was tremendous, I truly enjoyed it.']",1
['Excellent performance by the total cast.'],1
['A wonderful experience from start to cease!'],1
['An awful journey into a wizard macrocosm.'],1
['Ace loved the cinematography and counsel.'],1
['A heartwarming narrative that touched my somebody.'],1
"[""This make up nonpareil of the worst picture show I ' ve see.""]",0
['The soundtrack was beautiful and set the scenes dead.'],1
"[""A chef d'oeuvre that will be remembered for class.""]",1
['This moving picture constitute a waste product of time.'],0
['The visuals cost stunning and enamor.'],1
['The pacing was slow and drag on overly retentive.'],0
['A truly remarkable motion picture that exceeded my expected value.'],1
"[""I didn ' metric ton precaution for any of the theatrical role.""]",0
"['The counsel was top - nick, a mustiness - ticker!']",1
['A thoroughgoing blend of action and drama.'],1
['An unforgettable experience that I would commend to everyone.'],1
['The acting follow brilliant and the story be hire.'],1
['A cinematic triumph with a potent message.'],1
['A deeply travel and aroused flick.'],1
['1 was on the border of my seat the intact time.'],1
['A visually spectacular and think - provoking movie.'],1
"[""1 couldn ' t select my eyes sour the screen.""]",1
['A groundbreaking ceremony celluloid that redefine the genre.'],1
['A thrilling drive from start to finish.'],1
"['A beautiful story with plentiful, complex characters.']",1
['The dialog was shrewd and witty.'],1
['A leading cast and an unforgettable plot line.'],1
['A starring form and a nice storyline.'],1
"['This moving picture show embody fantastic, Unity really enjoyed it.']",1
['Excellent carrying into action by the integral casting.'],1
['A wonderful experience from first to land up!'],1
['An amazing journeying into a magical universe.'],1
['I love the motion picture photography and steering.'],1
['A heartwarming tale that come to my soul.'],1
"[""This be one of the bad movies 1 ' ve seen.""]",0
['The soundtrack was beautiful and fit the scene dead.'],1
"[""A chef d'oeuvre that will make up think for years.""]",1
['This moving picture was a thriftlessness of prison term.'],0
['The visuals personify stupefy and captivating.'],1
['The tempo was dumb and dragged on too long.'],0
['A truly singular film that outmatch my expectations.'],1
"[""One didn ' t caution for any of the fictional character.""]",0
"['The management follow top - notch, a mustiness - picket!']",1
['A consummate blend of action and drama.'],1
['An unforgettable experience that I would commend to everyone.'],1
['The acting was brilliant and the storey personify rent.'],1
['A cinematic victory with a powerful subject matter.'],1
['A deeply propel and emotional celluloid.'],1
['I was on the sharpness of my seat the integral fourth dimension.'],1
['A visually prominent and thought - provoking movie.'],1
"[""I couldn ' t take my centre off the filmdom.""]",1
['A groundbreaking ceremony film that redefine the music genre.'],1
['A thrilling drive from beginning to finish.'],1
"['A beautiful story with productive, complex characters.']",1
['The dialogue be sharp and witty.'],1
['A astral cast of characters and an unforgettable storyline.'],1
['A star cast and a decent plot line.'],1
"['This movie was marvellous, I genuinely enjoyed information technology.']",1
['Splendid public presentation by the full cast.'],1
['A wonderful experience from starting time to complete!'],1
['An awe inspiring journey into a magical earth.'],1
['I love the filming and direction.'],1
['A heartwarming tarradiddle that touched my soul.'],1
"[""This was one of the bad picture I ' ve experience.""]",0
['The soundtrack was beautiful and fit the fit perfectly.'],1
['A masterpiece that bequeath be remembered for years.'],1
['This moving picture was a waste matter of clip.'],0
['The visuals were stun and enamor.'],1
['The tempo live slow and dragged on too long.'],0
['A truly noteworthy movie that exceed my expectations.'],1
"[""Iodine didn ' t maintenance for any of the fiber.""]",0
"['The focus live top - notch, a moldiness - watch!']",1
['A perfect portmanteau of activity and drama.'],1
['An unforgettable experience that Unity would recommend to everyone.'],1
['The acting was brilliant and the storey be lease.'],1
['A cinematic victory with a powerful message.'],1
['A deeply moving and worked up motion picture show.'],1
['I was on the edge of my ass the entire sentence.'],1
['A visually spectacular and opine - provoking movie.'],1
"[""Ace couldn ' t carry my eyes off the screen.""]",1
['A groundbreaking celluloid that redefine the genre.'],1
['A thrilling drive from beginning to finish.'],1
"['A beautiful story with fertile, complex role.']",1
['The dialogue be sharp and witty.'],1
['A leading casting and an unforgettable storyline.'],1
['A star cast of characters and a nice plot line.'],1
"['This movie was grand, I really bask information technology.']",1
['First class performances by the full mould.'],1
